Marca,Modelo,Ano,Motor,Transmissão,Homologação do Fluido,Quantidade de fluído,Filtro da transmissão,Conexão da máquina de troca de fluidos,Imagem Conector,Imagem Local da Conexao ,Video Procedimento,Link,FALSE
AUDI,A6,2004-2013,V6 3.0L V8 4.2L,6HP19 / 6HP26,Homologação G 055 005,"Parcial (Carter): 4,5 LITROS
Total para Nível: 9,9 LITROS
Diálise: 12,5 LITROS",,,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/30,
AUDI,A8,2002-2005,V8 4.2L,6HP19 A,Homologação G 055 005,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,5 LITROS
Diálise: 12,0 LITROS","OEM: 091325429 /
0AT325429 /24117571227",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/35,
AUDI,S4/RS4,2004-2009,V8 4.2L,6HP19 A / 09L,Homologação G 055 005,"Parcial (Carter): 4,3 LITROS
Total para Nível: 9,5 LITROS
Diálise: 11,50 LITROS","OEM: 091325429 /
0AT325429 /24117571227",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/53,
AUDI,S6,2008-2010,V10 5.2L,6HP26,Homologação G 055 005,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS","OEM: 091325429 /
0AT325429 /24117571227",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/56,
AUDI,S8,2007-2008,V10 5.2L,6HP26,Homologação G 055 005,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS",,,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/58,
AUDI,A4,2007-2012,V6 3.2L,6HP28 AF,Homologação G 055 005,"Parcial (Carter): 5,20 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS","OEM: 091325429 /
0AT325429 /24117571227",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/18,
AUDI,A5,2008-2016,V6 3.2L FSI,6HP28 AF,Homologação G 055 005,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,5 LITROS","OEM: 091325429 /
0AT325429 /24117571227",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1300,
AUDI,A8,2013-2016,V6 3.0L V8 4.0L W12 6.3L,8HP55 / 0BK,Homologação G 060 162,"Parcial (Carter): 4,3 LITROS
Total para Nível: 9,0 LITROS
Diálise: 12,0 LITROS","CLLLLLLLLLALA
EE ss E.

OEM: 0BK398009A",Conector A39,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/36,
AUDI,Q5,2012-2017,L4 2.0L V6 3.0L,8HP55 AF / 0BK,Homologação G 060 162,"Parcial (Carter): 4,3 LITROS
Total para Nível: 9,0 LITROS
Diálise: 12,0 LITROS","CLLLLLLLLLALA
EE ss E.

OEM: 0BK398009A",Conector A39,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/43,
AUDI,Q8,2018-2023,V6 3.0L,8HP65,Homologação G 060 162,"Parcial (Carter): 4,5 LITROS
Total para Nível: 8,8 LITROS
Diálise: 11,0 LITROS","4
ftir

Atente-se a presença ou não do duto de alimentação
da Bomba Auxiliar Elétrica. Transmissões equipadas
com a Bomba Auxiliar Elétrica precisa do filtro
equipado com esse duto de alimentação do fluido.

4

ipl ©

OEM: 0D5 398 009 A
0D5 398 009 C",Conector A39,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1086,
AUDI,Q7,2015-2024,V6 3.0L,8HP65 A / 0D5,Homologação G 160 162,"Parcial (Carter): 4,3 LITROS
Total para Nível: 9,5 LITROS
Diálise: 11,50 LITROS","4
ftir

Atente-se a presença ou não do duto de alimentação
da Bomba Auxiliar Elétrica. Transmissões equipadas
com a Bomba Auxiliar Elétrica precisa do filtro
equipado com esse duto de alimentação do fluido.

4

ipl ©

OEM: 0D5 398 009 A
0D5 398 009 C",Conector A39,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/46,
AUDI,A3,2016-2022,L4 1.4L,AQ250 / 09G,Homologação G 055 540,"Parcial (Carter): 3,4 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","

09G 325 429 
09G 325 429H",Conector A106,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/13,
AUDI,A4,2017-2024,L4 2.0 V6 3.0L,DL382 / 0CK,Homologação G 055 529,"Parcial (Carter): 3,8 LITROS
Total para Nível: 4,5 LITROS
Diálise: 5,5 LITROS","Filtro de =

Filtro de baixa

pressão sucção

Filtro de alta
pressão

Para removero corpo de
válvulas, retirar somente os
parafusos sextavados

Bomba de óleo (por
onde drena o óleo da
caixa de engrenagens)

Muita atenção

OEM:

‘one com 0CK325149D
0CK325121D
0CK325421A",Conector A90,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/20,
AUDI,A5,2016-2022,L4 2.0L V6 3.0L,DL382 / 0CK,Homologação G 055 529,"Parcial (Carter): 3,3 LITROS
Total para Nível: 4,5 LITROS
Diálise: 5,5 LITROS","Filtro de =

Filtro de baixa

pressão sucção

Filtro de alta
pressão

Para removero corpo de
válvulas, retirar somente os
parafusos sextavados

Bomba de óleo (por
onde drena o óleo da
caixa de engrenagens)

Muita atenção

OEM:

‘one com 0CK325149D
0CK325121D
0CK325421A",Conector A90,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1064,
AUDI,A6,2014-2018,L4 2.0L T,DL382 / 0CK,Homologação G 055 529,"Parcial (Carter): 3,3 LITROS
Total para Nível: 4,5 LITROS
Diálise: 5,5 LITROS","Filtro de =

Filtro de baixa

pressão sucção

Filtro de alta
pressão

Para removero corpo de
válvulas, retirar somente os
parafusos sextavados

Bomba de óleo (por
onde drena o óleo da
caixa de engrenagens)

Muita atenção

OEM:

‘one com 0CK325149D
0CK325121D
0CK325421A",Conector A90,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1075,
AUDI,A6,2020-2022,L4 2.0L  V6 3.0L,DL382 / 0CK,Homologação G 055 529,"Parcial (Carter): 3,3 LITROS
Total para Nível: 4,5 LITROS
Diálise: 5,5 LITROS","Filtro de =

Filtro de baixa

pressão sucção

Filtro de alta
pressão

Para removero corpo de
válvulas, retirar somente os
parafusos sextavados

Bomba de óleo (por
onde drena o óleo da
caixa de engrenagens)

Muita atenção

OEM:

‘one com 0CK325149D
0CK325121D
0CK325421A",Conector A90,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1226,
AUDI,A7,2018-2022,V6 3.0L,DL382 / 0CK,Homologação G 055 529,"Parcial (Carter): 3,3 LITROS
Total para Nível: 4,5 LITROS
Diálise: 5,5 LITROS","Filtro de =

Filtro de baixa

pressão sucção

Filtro de alta
pressão

Para removero corpo de
válvulas, retirar somente os
parafusos sextavados

Bomba de óleo (por
onde drena o óleo da
caixa de engrenagens)

Muita atenção

OEM:

‘one com 0CK325149D
0CK325121D
0CK325421A",Conector A90,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/33,
AUDI,Q5,2017-2024,L4 2.0L,DL382 / 0CK,Homologação G 055 529,"Parcial (Carter): 3,3 LITROS
Total para Nível: 4,5 LITROS
Diálise: 5,5 LITROS","Filtro de =

Filtro de baixa

pressão sucção

Filtro de alta
pressão

Para removero corpo de
válvulas, retirar somente os
parafusos sextavados

Bomba de óleo (por
onde drena o óleo da
caixa de engrenagens)

Muita atenção

OEM:

‘one com 0CK325149D
0CK325121D
0CK325421A",Conector A90,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/44,
AUDI,A5,2008-2016,L4 2.0L V6 3.0L,DL501 / 0B5,Homologação G 052 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","OEM: 0B5 325 330A
OBS 325 429E",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/21,
AUDI,A6,2014-2018,V6 3.0L,DL501 / 0B5,Homologação G 052 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","OEM: 0B5 325 330A
OBS 325 429E",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1225,
AUDI,A6 QUATTRO,2013-2022,V6 3.0L,DL501 / 0B5,Homologação G 052 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","OEM: 0B5 325 330A
OBS 325 429E",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1137,
AUDI,A7,2010-2017,L4 2.0L V6 3.0L,DL501 / 0B5,Homologação G 052 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","OEM: 0B5 325 330A
OBS 325 429E",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/32,
AUDI,Q5,2008-2012,L4 2.0L V6 3.2L,DL501 / 0B5,Homologação G 052 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","OEM: 0B5 325 330A
OBS 325 429E",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/42,
AUDI,S4/RS4,2011-2015,V6 3.0 TFSI,DL501 / 0B5,Homologação G 052 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","OEM: 0B5 325 330A
OBS 325 429E",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/54,
AUDI,S5,2014-2016,V6 3.0L TFSI,DL501 / 0B5,Homologação G 052 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,0 LITROS
Diálise: 9,0 LITROS","OEM: 0B5 325 330A
OBS 325 429E",Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/55,
AUDI,R8,2012-2018,V10 5.2L V8 4.2L,DL800,Homologação G 052 529,"Parcial (Carter): 8,10 LITROS
Total para Nível: 12,0 LITROS
Diálise: 14,0 LITROS","325 183A

OEM: OBH",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/52,
AUDI,A1,2010-2020,L4 1.4L 1.8L T,DQ200 / 0AM,Homologação G 052 512,"Parcial (Carter): 1,0 LITROS
Total para Nível: 1,7 LITROS",Não possui acesso ao filtro.,,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/8,
AUDI,A3,2012-2016,L4 1.4 TFSI 1.8 TFSI,DQ200 / 0AM,Homologação G 052 512,"Parcial (Carter): 1,0 LITROS
Total para Nível: 1,7 LITROS",Não possui acesso ao filtro.,,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/12,
AUDI,A3,2007-2018,L4 2.0L TFSI,DQ250 / 02E,Homologação G 052 182,"Parcial (Carter): 5,2 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS",OEM: 02E 305 051 C,Conector A38,,https://drive.google.com/file/d/1lIRkzKkJWAze9uCJAjQqTNhFDM4pNXAC/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/11,
AUDI,Q3,2016-2024,L4 1.4L,DQ250 / 02E,Homologação G 052 182,"Parcial (Carter): 5,2 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS",OEM: 02E 305 051 C,Conector A38,,https://drive.google.com/file/d/1lIRkzKkJWAze9uCJAjQqTNhFDM4pNXAC/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/41,
AUDI,S3,2009-2016,L4 2.0L,DQ250 / 02E,Homologação G 052 182,"Parcial (Carter): 5,2 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS",OEM: 02E 305 051 C,Conector A38,,https://drive.google.com/file/d/1lIRkzKkJWAze9uCJAjQqTNhFDM4pNXAC/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1132,
AUDI,TT,2009-2020,L4 2.0L,DQ250 / 02E,Homologação G 052 182,"Parcial (Carter): 5,2 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS",OEM: 02E 305 051 C,Conector A38,,https://drive.google.com/file/d/1lIRkzKkJWAze9uCJAjQqTNhFDM4pNXAC/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/59,
AUDI,A3,2021-2024,L4 2.0L TFSi,DQ381 / 0GC - DSG,Homologação G 055 529,"Parcial (Carter): 5,5 LITROS
Total para Nível: 6,9 LITROS
Diálise: 9,0 LITROS",OEM: OGC 325 183 A,Conector A49,,https://drive.google.com/file/d/13Iz9Ru0zIcU-J5L56iwHEokuFjTKf_ZA/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1224,
AUDI,Q3,2013-2018,L4 2.0T,DQ500 / 0BH,Homologação G 052 182,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS","y

OEM: 0BH325183A / 0BH325183B",Conector A49,,https://drive.google.com/file/d/13Iz9Ru0zIcU-J5L56iwHEokuFjTKf_ZA/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/40,
AUDI,TT,2021-2024,L5 2.5L T,DQ500 / 0BH,Homologação G 052 182,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS","y

OEM: 0BH325183A / 0BH325183B",Conector A49,,https://drive.google.com/file/d/13Iz9Ru0zIcU-J5L56iwHEokuFjTKf_ZA/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1216,
AUDI,RS3,2013-2019,L5 2.5L,DQ500 MQB,Homologação G 052 182,"Parcial (Carter): 5,5 LITROS
Total para Nível: 7,2 LITROS
Diálise: 9,0 LITROS","y

OEM: 0BH325183A / 0BH325183B",Conector A49,,https://drive.google.com/file/d/13Iz9Ru0zIcU-J5L56iwHEokuFjTKf_ZA/view?usp=drive_link,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1151,
AUDI,R8,2006-2015,V10 5.2L V8 4.2L,SL600-6A,Homologação FFL2 PENTOSIN,,"EA
J",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/48,
AUDI,R8,2011-2011,V8 4.2L,SL600-6A,Homologação FFL2 PENTOSIN,,"EA
J",,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/49,
AUDI,Q7,2011-2014,V6 3.0L,TR80SD / 0C8,Homologação ZF LIFEGUARD 8 SPEED,"Parcial (Carter): 5,5 LITROS
Total para Nível: 11,8 LITROS
Diálise: 13,5 LITROS",OEM: 0C8325435,Conector A29,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/47,
BMW,3-SERIE,1992-2000,L4 1.8 1.9L L6 2.5L 2.8L,4L30E,Homologação BMW ETL7045E ou ETL8072B,"Parcial (Carter): 6,3 LITROS
Total para Nível: 8,9 LITROS
Diálise: 11,0 LITROS",OEM: 96015432,,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/76,
BMW,5-SERIE,1990-1999,L6 2.5L 2.8L,4L30E,Homologação BMW ETL7045E ou ETL8072B,"Parcial (Carter): 6,3 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,0 LITROS",OEM: 96015432,,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/99,
BMW,3-SERIE,2000-2007 (4 - 5 SP),L4 1.9L L6 2.0L 2.8L,4L40E,Homologação DEXRON III,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,0 LITROS",OEM: 24117557070,Conector A85 / A43,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/79,
BMW,5-SERIE,1993-1995,V8 3.0L,5HP18,Homologação LT 7114 1,"Parcial (Carter): 6,10 LITROS
Total para Nível: 9,2 LITROS
Diálise: 11,50 LITROS",OEM: 24341219631,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/104,
BMW,M3,1995-1998,L6 3.0L 3.2L,5HP18,Homologação BMW 83 22,"Parcial (Carter): 6,10 LITROS
Total para Nível: 9,7 LITROS
Diálise: 11,50 LITROS",OEM: 24341219631,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/151,
BMW,3-SERIE,1992-2000,L6 2.5L 2.8L,5HP19 / 5HP18,Homologação LT 7114 1,"Parcial (Carter): 6,10 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,50 LITROS",OEM: 24341422513,Conector A02,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/78,
BMW,5-SERIE,1996-2004,L6 2.5L  V8 4.4L 4.6L,5HP19 / 5HP24,Homologação LT 7114 1,"Parcial (Carter): 5,35 LITROS
Total para Nível: 9,7 LITROS
Diálise: 12,0 LITROS",OEM: 24341422673,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/105,
BMW,3-SERIE,2000-2007 (4 - 5 SP),L6 2.2L 2.5L 3.0L,5HP19 / A5S 325Z,Homologação LT 7114 1,"Parcial (Carter): 6,10 LITROS
Total para Nível: 9,2 LITROS
Diálise: 11,50 LITROS",OEM: 24341423376,,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/1022,
BMW,Z4,2002-2007,L6 2.5L 3.0L,5HP19 / A5S325Z,Homologação LT 7114 1,"Parcial (Carter): 6,3 LITROS
Total para Nível: 9,2 LITROS
Diálise: 11,50 LITROS",OEM: 24341423376,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/191,
BMW,7-SERIE,1992-2002,L6 3.0L  V8 4.4L 4.8L,5HP24,Homologação BMW 83 22,"Parcial (Carter): 5,35 LITROS
Total para Nível: 10,0 LITROS
Diálise: 11,50 LITROS",OEM: 24341422673,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/137,
BMW,X5,2000-2006,V8 4.4L 4.6L,5HP24 A,Homologação LA 263 4,"Parcial (Carter): 5,35 LITROS
Total para Nível: 9,2 LITROS
Diálise: 11,50 LITROS",OEM: 24341422673,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/173,
BMW,5-SERIE,1991-2003,L8 3.5L 4.4L,5HP30,Homologação LT 7114 1,"Parcial (Carter): 5,5 LITROS
Total para Nível: 13,0 LITROS
Diálise: 15,0 LITROS",,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/100,
BMW,7-SERIE,1992-2002,V12 5.4L,5HP30,Homologação LA 263 4,"Parcial (Carter): 5,5 LITROS
Total para Nível: 13,0 LITROS
Diálise: 15,0 LITROS",,Conector A11,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/135,
BMW,3-SERIE,2000-2007 (4 - 5 SP),L6 2.5L 2.8L 3.0L,5L40E / A5S360R,Homologação DEXRON III,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,0 LITROS",OEM: 24117557070,Conector A85 / A43,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/81,
BMW,X3,2004-2007,L6 2.5L 2.9L 3.0L,5L40E / A5S360R / A5S390R,Homologação DEXRON III,"Parcial (Carter): 4,5 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,0 LITROS","OEM: 2411 1 423 604 /
24117 510 012",Conector A85 / A43,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/988,
BMW,X5,2000-2006,L6 3.0L,5L40E / A5S360R / A5S390R,Homologação DEXRON III,"Parcial (Carter): 4,6 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,0 LITROS","OEM: 2411 1 423 604 /
24117 510 012",Conector A85 / A43,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/174,
BMW,Z3,2000-2002,L6 2.5L 2.8L 3.0L,5L40E / A5S360R / A5S390R,Homologação DEXRON III,"Parcial (Carter): 4,6 LITROS
Total para Nível: 9,0 LITROS
Diálise: 11,0 LITROS",OEM: 24117557070,Conector A85 / A43,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/190,
BMW,X1,2009-2015,L4 2.0L (N46) L6 3.0L (N52),6HP19 / 6HP21,Homologação BMW 83 22,"Parcial (Carter): 5,35 LITROS
Total para Nível: 9,5 LITROS
Diálise: 11,50 LITROS","OEM: 091325429 /
0AT325429 /24117571227",Conector A32,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/153,
BMW,X5,2004-2012,L6 3.0L V8 4.4L 4.8L,6HP19 / 6HP21,Homologação BMW 83 22,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,5 LITROS
Diálise: 12,0 LITROS","OEM: 091325429 /
0AT325429 /24117571227",Conector A32,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/175,
BMW,Z4,2007-2012,L6 2.5L 3.0L 3.2L,6HP19 / 6HP21,Homologação BMW 83 22,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,5 LITROS
Diálise: 12,0 LITROS","OEM: 091325429 /
0AT325429 /24117571227",Conector A32,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/192,
BMW,3-SERIE,2005-2013 (6 SP),L4 2.0L L6 2.5L 3.0L,6HP19 / 6HP21 / 6HP26,Homologação BMW 83 22,"Parcial (Carter): 4,5 LITROS
Total para Nível: 9,5 LITROS
Diálise: 11,50 LITROS",,Conector A32,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/85,
BMW,6-SERIE,2002-2009,L6 3.0L  V8 4.4L 4.8L,6HP19 / 6HP21 / 6HP26,Homologação BMW 83 22,"Parcial (Carter): 5,2 LITROS
Total para Nível: 9,7 LITROS
Diálise: 12,0 LITROS","OEM: 091325429 /
0AT325429 /24117571227",Conector A71,,,,https://crm.cambioautomaticodobrasil.com.br/guia-de-transmissao/transmissao/123,
